Venue,Mgr,Sport,LOC,KOP Description,FK,FK2,W,H,D,A sqm,Product Description,Product Finishing/Construction,Unit,Qty,Cost By,Type,KOP Code Tx,Quantity Transferred,Artwork Requested,Artworked,Comments
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 001,Fence Scrim Script Blue,29-Sep,,13250,TBC - 1620,,,"Fabric mesh, polyester, single sided",Hemmed & eyelets on all edges (500mm) & corners,Item,19,LOK,,,0,,,FSR1 
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 002,Tent Header PSA Aqua Large,13-Sep,,10000,300,,,Framed fabric panel,frame (timber/alloy) with stretched fabric attached,Item,3,LOK,,,0,,,Main PSA
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 003,Banner Venue Script Wave,13-Sep,,1500,4500,,,"Fabric, polyester, double sided","Common image both sides(with liner), sleeve on top",Item,4,LOK,,,0,,,BVR1 - Before Main PSA
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 004,Banner Venue Sponsor Aqua,13-Sep,,1500,4500,,,"Fabric, polyester, double sided","Common image both sides(with liner), sleeve on top",Item,2,LOK,,,0,,,BVR1: SPN1  - Before Main PSA
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 005,Banner Venue Tagline Wave,13-Sep,,1500,4500,,,"Fabric, polyester, double sided","Common image both sides(with liner), sleeve on top",Item,2,LOK,,,0,,,BVR1 - Before Main PSA
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 006,Banner Venue Sponsor Blue,13-Sep,,1500,4500,,,"Fabric, polyester, double sided","Common image both sides(with liner), sleeve on top",Item,2,LOK,,,0,,,BVR1: SPN2  - Before Main PSA
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 007,Banner Venue Sponsor Aqua,13-Sep,,1500,4500,,,"Fabric, polyester, double sided","Common image both sides(with liner), sleeve on top",Item,2,LOK,,,0,,,BVR1:SPN3  - Before Main PSA
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 008,Banner Venue Welcome Wave,13-Sep,,1500,4500,,,"Fabric, polyester, double sided","Common image both sides(with liner), sleeve on top",Item,2,LOK,,,0,,,BVR1 - Before Main PSA
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 009,Banner Venue Sponsor Blue,13-Sep,,1500,4500,,,"Fabric, polyester, double sided","Common image both sides(with liner), sleeve on top",Item,2,LOK,,,0,,,BVR1: SPN4  - Before Main PSA
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 010,Crowd Control Barrier Jacket Script Wave,12-Sep,GND,TBC - 2150,TBC - 900,,,"Fabric mesh, polyester, double sided","sewn with partial hood, eyelets place on all edging",Item,18,LOK,,,0,,,CBR1. Main PSA both sides
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 011,Crowd Control Barrier Jacket Event Name Aqua,12-Sep,GND,TBC - 2150,TBC - 900,,,"Fabric mesh, polyester, double sided","sewn with partial hood, eyelets place on all edging",Item,18,LOK,,,0,,,CBR1. Main PSA both sides
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 012,Banner Hero Silhouette,25-Sep,,2000,4800,,,"PVC skin, single sided",,SQM,1,LOK,,,0,,,Silhouette: Shooting. Pillar structure facing the street NB Height is 4 panels of 1200mm
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 013,Table Skirt Graphic Aqua,4-Sep,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,3,LOK,,,0,,,VAHO
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 014,Sponsor Recognition Board Aqua,20-Sep,,800,1800,,,"Corflute, single sided",Trimmed to size,Item,2,LOK,,,0,,,"Pistol/Rifle Spectator Area, 2 x panels"
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 014,"Sponsor Recognition Base, Medium",16-Sep,,800,2100,,,"Freestanding Base, Medium, 2.1m","Plywood frame, sand bag filled, medium size, 2 corflute panels attached (Signage family KOP FR-M)",Item,1,LOK,,,0,,,Sponsor Recognition Board (for panels BEL 014) Pistol/Rifle Spectator Area. 
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 015,Tent Header Ticket Box Office Purple Small,13-Sep,,6000,300,,,Framed fabric panel,frame (timber/alloy) with stretched fabric attached,Item,1,LOK,,,0,,,6m  Cabin - Outside main PSA
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 016,RAP Freestanding Board,14-Sep,,800,1800,,,"Corflute, single sided",Trimmed to size,SQM,2,LOK,,,0,,,"RAP Welcome Board, 2 x panels"
BEL - Belmont Shooting Centre,Charlotte Williams,SHO - Shooting,BEL 016,Venue Entrance Freestanding Base Hardware,1-Oct,,800,2100,,,"Freestanding Base, Medium, 2.1m","Plywood frame, sand bag filled, medium size, 2 corflute panels attached (Signage family KOP FR-M)",Item,1,LOK,,,0,,,"Freestanding RAP Board, Main PSA Area"
